transaction_id,transaction_date,branch_id,branch_name,city,region,customer_id,customer_age_group,customer_gender,product_id,product_name,category,brand,quantity,unit_price,discount_percent,revenue,cost,profit,payment_method
TX000001,2023-01-01,BR002,Downtown Plaza,Phnom Penh,Central,CUS00215,55+,Female,PRD0055,Fresh Milk 1L,Grocery,DairyBest,7,$17.99,5%,$119.63,$99.37,$20.26,Credit Card
TX000002,2023-01-01,BR003,Riverside Center,Siem Reap,North,CUS03059,25-34,Male,PRD0040,Running Shoes,Sports,ActivePro,1,$165.99,20%,$132.79,$108.71,$24.08,Credit Card
TX000003,2023-01-01,BR005,South Market,Kampot,South,CUS02322,45-54,Female,PRD0053,Bottled Water 1.5L,Grocery,PureSpring,5,$23.99,0%,$119.95,$86.21,$33.74,Debit Card
TX000004,2023-01-01,BR006,East Square,Kratie,East,CUS03900,35-44,Male,PRD0054,Ground Coffee 200g,Grocery,BrewHouse,4,$16.99,0%,$67.96,$40.45,$27.51,Debit Card
TX000005,2023-01-01,BR004,North Point,Battambang,North,CUS03433,35-44,Male,PRD0064,File Folder Set,Stationery,PaperPlus,5,$15.99,20%,$63.96,$52.46,$11.50,Cash
TX000006,2023-01-01,BR008,City Hub,Sihanoukville,South,CUS02411,35-44,Female,PRD0057,Mixed Snack Pack,Grocery,QuickMeal,8,$11.99,10%,$86.33,$53.95,$32.38,Cash
TX000007,2023-01-01,BR001,Central Mall,Phnom Penh,Central,CUS00177,45-54,Male,PRD0013,Cotton T-Shirt,Fashion,Urbanwear,2,$104.99,0%,$209.98,$124.89,$85.09,Credit Card
TX000008,2023-01-01,BR002,Downtown Plaza,Phnom Penh,Central,CUS03178,35-44,Female,PRD0033,Sunscreen SPF50,Beauty,PureSkin,2,$22.99,10%,$41.38,$25.79,$15.59,Debit Card
TX000009,2023-01-01,BR003,Riverside Center,Siem Reap,North,CUS02315,35-44,Male,PRD0011,Men's Denim Jacket,Fashion,Urbanwear,2,$62.99,25%,$94.48,$73.86,$20.62,Debit Card
TX000010,2023-01-01,BR004,North Point,Battambang,North,CUS03533,25-34,Female,PRD0007,Gaming Mouse RGB,Electronics,NexGear,2,$726.99,10%,"$1,308.58",$883.83,$424.75,Credit Card
TX000011,2023-01-01,BR002,Downtown Plaza,Phnom Penh,Central,CUS02443,25-34,Female,PRD0053,Bottled Water 1.5L,Grocery,PureSpring,4,$18.99,0%,$75.96,$45.84,$30.12,Debit Card
TX000012,2023-01-01,BR008,City Hub,Sihanoukville,South,CUS00015,18-24,Female,PRD0027,Blackout Curtain Set,Home Living,CozyNest,4,$149.99,0%,$599.96,$491.29,$108.67,Credit Card
TX000013,2023-01-01,BR005,South Market,Kampot,South,CUS03446,35-44,Female,PRD0022,Cotton Bedsheet Set,Home Living,CozyNest,3,$120.99,5%,$344.82,$232.04,$112.78,Credit Card
